   TIME       PMB      TEMP    TDEW     RH      GEOP     AZ      EL   SPEED     DIR   E.TIME   RT    Battery
               mb       øC      øC      %      meters    deg     deg   m/s      deg    secs  Status     v
Scale Factors  1.00000 1.00000   Flight # 125
18:26:34.54   557.33   -0.42 9999.00    9.92     5000 9999.00 9999.00   999.0     999     0.00       0   8.630
18:26:37.01   557.23   -2.12  -29.67    9.90     5001 9999.00 9999.00   999.0     999     1.44       0   8.630
18:26:38.06   557.29   -2.10  -29.66    9.89     5001 9999.00 9999.00   999.0     999     2.47       0   8.630
18:26:39.10   557.29   -2.07  -29.65    9.88     5000 9999.00 9999.00   999.0     999     3.50       0   8.610
18:26:40.14   557.33   -2.08  -29.67    9.87     5000 9999.00 9999.00   999.0     999     4.54       0   8.610
18:26:41.13   557.31   -2.02  -29.63    9.86     5000 9999.00 9999.00   999.0     999     5.57       0   8.600
18:26:42.18   557.33   -1.94  -29.59    9.84     5000  237.27-311885147411029460000000.00   999.0     999     6.60       0   8.610
18:26:43.22   557.33   -1.85  -29.53    9.83     5000  246.29-223529225517145646000000.00   999.0     999     7.64       0   8.620
18:26:44.26   557.33   -1.73  -29.46    9.82     5000  255.23-136022879795331622000000.00   999.0     999     8.67       0   8.610
18:26:45.31   557.33   -1.65  -29.40    9.81     5000  264.17-48516534073586318600000.00   999.0     999     9.70       0   8.620
18:26:46.35   557.31   -1.59  -29.37    9.79     5000  251.76-164608826801201110000000.00   999.0     999    10.74       0   8.620
18:26:47.34   557.33   -1.53  -29.33    9.78     5000  258.65-96709712090587906200000.00   999.0     999    11.77       0   8.610
18:26:48.38   557.33   -1.47  -29.30    9.77     5000   88.45    0.00   999.0     999    12.80       0   8.600
18:26:49.43   557.33   -1.36  -29.22    9.77     5000  255.04-129777344786796537000000.00   999.0     999    13.84       0   8.580
18:26:50.47   557.36   -1.24  -29.14    9.76     5000  260.62-74494619464097905800000.00   999.0     999    14.87       0   8.600
18:26:51.46   557.37   -1.13  -29.06    9.75     4999   88.15    0.00   999.0     999    15.90       0   8.590
18:26:52.50   557.18   -1.08  -29.04    9.74     5002  257.50-105861716453311684000000.00   999.0     999    16.94       0   8.570
18:26:53.55   557.03   -1.13  -29.09    9.73     5004  262.21-59241526627540022600000.00   999.0     999    17.97       0   8.580
18:26:54.59   556.79   -1.27  -29.21    9.72     5008   88.20    0.00   999.0     999    19.00       0   8.570
18:26:55.63   556.42   -1.50  -29.39    9.71     5013  266.48-86489443399351775800000.00   999.0     999    20.04       0   8.590
18:26:56.68   556.44   -1.77  -29.59    9.72     5013  270.93-46085278883545564100000.00   999.0     999    21.07       0   8.560
18:26:57.67   556.14   -2.07  -29.82    9.72     5017   96.00    0.00   999.0     999    22.10       0   8.570
18:26:58.71   555.80   -2.39  -30.06    9.73     5022  273.42-73416502887702708900000.00   999.0     999    23.14       0   8.570
18:26:59.75   555.46   -2.70  -30.30    9.73     5027  277.58-37843271011262183500000.00   999.0     999    24.17       0   8.560
18:27:00.80   555.07   -2.99  -30.52    9.74     5032  102.00    0.00   999.0     999    25.21       0   8.560
18:27:01.84   554.69   -3.25  -30.72    9.73     5038  275.87-63135840894402336700000.00   999.0     999    26.24       0   8.560
18:27:02.83   554.38   -3.48  -30.91    9.73     5042  279.64-31361691981469733400000.00   999.0     999    27.27       0   8.560
18:27:03.87   554.04   -3.68  -31.08    9.72     5047  275.16-82160644688567259400000.00   999.0     999    28.31       0   8.560
18:27:04.92   553.68   -3.86  -31.23    9.70     5052  278.62-53401968617653452900000.00   999.0     999    29.34       0   8.550
18:27:05.96   553.33   -4.02  -31.37    9.69     5057  282.08-24643292546705286800000.00   999.0     999    30.37       0   8.540
18:27:07.00   552.99   -4.16  -31.50    9.67     5062  280.17-72905088616508166200000.00   999.0     999    31.41       0   8.540
18:27:08.05   552.75   -4.29  -31.62    9.64     5065  283.45-46681231809116123400000.00   999.0     999    32.44       0   8.560
18:27:09.09   552.52   -4.40  -31.74    9.62     5069  286.77-20202774450672368600000.00   999.0     999    33.48       0   8.560
18:27:10.08   552.33   -4.50  -31.85    9.59     5071  282.89-63958019751978236600000.00   999.0     999    34.51       0   8.550
18:27:11.12   552.13   -4.60  -31.95    9.56     5074  285.96-39822788710887543800000.00   999.0     999    35.54       0   8.540
18:27:12.17   551.84   -4.67  -32.04    9.54     5078  289.06-15453235036711207000000.00   999.0     999    36.58       0   8.540
18:27:13.21   551.53   -4.74  -32.12    9.51     5083  284.21-57444616812808053500000.00   999.0     999    37.61       0   8.540
18:27:14.25   551.20   -4.80  -32.19    9.48     5087  287.09-34903610794433054800000.00   999.0     999    38.65       0   8.550
18:27:15.24   550.90   -4.85  -32.26    9.46     5092  289.94-12579345219962083000000.00   999.0     999    39.68       0   8.520
18:27:16.29   550.57   -4.91  -32.33    9.43     5096  285.72-51840445234414901800000.00   999.0     999    40.71       0   8.530
18:27:17.33   550.23   -4.97  -32.41    9.41     5101  288.42-30872732762161627000000.00   999.0     999    41.75       0   8.520
18:27:18.37   549.86   -5.03  -32.48    9.38     5106  291.10-10106632908846022000000.00   999.0     999    42.78       0   8.540
18:27:19.42   549.48   -5.08  -32.55    9.36     5112  286.67-45986974977733123100000.00   999.0     999    43.81       0   8.530
18:27:20.46   549.11   -5.14  -32.62    9.33     5117  289.20-26363985162319853300000.00   999.0     999    44.85       0   8.530
18:27:21.45   548.73   -5.18  -32.68    9.31     5123  112.60    0.00   999.0     999    45.88       0   8.530
18:27:22.49   548.37   -5.22  -32.73    9.29     5128  286.45-41589220401878424100000.00   999.0     999    46.92       0   8.520
18:27:23.54   548.01   -5.26  -32.78    9.27     5133  288.78-23346537396619259700000.00   999.0     999    47.95       0   8.520
18:27:24.58   547.67   -5.31  -32.84    9.26     5138  111.78    0.00   999.0     999    48.98       0   8.520
18:27:25.62   547.35   -5.36  -32.89    9.24     5142  286.59-37866488878099490400000.00   999.0     999    50.02       0   8.520
18:27:26.61   547.03   -5.41  -32.95    9.22     5147  288.78-20677742376167608900000.00   999.0     999    51.05       0   8.510
18:27:27.65   546.69   -5.47  -33.01    9.21     5152  111.43    0.00   999.0     999    52.09       0   8.500
