   TIME       PMB      TEMP    TDEW     RH      GEOP     AZ      EL   SPEED     DIR   E.TIME   RT    Battery
               mb       øC      øC      %      meters    deg     deg   m/s      deg    secs  Status     v
Scale Factors  1.00000 1.00000   Flight # 196
13:14:31.76   559.34    4.33 9999.00   35.11     5000 9999.00 9999.00   999.0     999     0.00       0   8.450
13:14:48.18   558.76    2.69  -11.37   34.57     5008  174.93    8.25   999.0     999     1.75       0   8.420
13:14:49.23   558.42    2.69  -11.26   34.86     5013  175.25    7.22   999.0     999     2.76       0   8.410
13:14:50.21   558.06    2.73  -11.13   35.12     5018  174.00    6.53   999.0     999     3.77       0   8.410
13:14:51.26   557.70    2.68  -11.05   35.49     5024  175.02    5.18   999.0     999     4.79       0   8.400
13:14:52.25   557.33    2.62  -10.96   35.89     5029  174.80    4.90   999.0     999     5.80       0   8.410
13:14:53.24   556.99    2.48  -10.94   36.31     5034  172.68    5.38   999.0     999     6.81       0   8.410
13:14:54.28   556.61    2.33  -10.93   36.73     5040  177.27    6.70   999.0     999     7.82       0   8.420
13:14:55.27   556.28    2.20  -10.91   37.11     5044  177.35    6.25   999.0     999     8.84       0   8.400
13:14:56.31   555.96    2.08  -10.90   37.47     5049  184.63    5.85   999.0     999     9.85       0   8.410
13:14:57.30   555.61    1.98  -10.89   37.79     5054  188.90    4.93   999.0     999    10.86       0   8.400
13:14:58.34   555.28    1.89  -10.87   38.10     5059  196.75    5.80   999.0     999    11.88       0   8.390
13:14:59.33   554.97    1.79  -10.86   38.41     5063  212.35    7.10   999.0     999    12.89       0   8.390
13:15:00.38   554.70    1.69  -10.85   38.69     5067  218.73    8.95   999.0     999    13.90       0   8.400
13:15:01.36   554.44    1.62  -10.83   38.92     5071  225.23    4.60   999.0     999    14.92       0   8.380
13:15:02.41   554.22    1.56  -10.83   39.12     5074 9999.00 9999.00   999.0     999    15.93       0   8.390
13:15:03.40   554.01    1.51  -10.82   39.29     5077 9999.00 9999.00   999.0     999    16.94       0   8.380
13:15:04.38   553.84    1.47  -10.80   39.45     5080 9999.00 9999.00   999.0     999    17.96       0   8.380
13:15:05.43   553.63    1.43  -10.78   39.62     5083 9999.00 9999.00   999.0     999    18.97       0   8.390
13:15:06.42   553.49    1.40  -10.76   39.79     5085 9999.00 9999.00   999.0     999    19.98       0   8.380
13:15:07.46   553.33    1.36  -10.74   39.96     5087 9999.00 9999.00   999.0     999    21.00       0   8.370
13:15:08.45   553.15    1.33  -10.72   40.14     5090 9999.00 9999.00   999.0     999    22.01       0   8.370
