file,PWV_kg/m^2,z_at_50pct_m,T_antenna,sigma_T,N_used
00041305_geop5000.parquet,1.2514666515676,5229.886181060422,[7.61537037],0.0018113015990409835,152
00060114_geop5000.parquet,27.990316680174594,12459.457521959126,[76.88705767],0.11948881164871013,905
00060515_geop5000.parquet,2.634670316878503,6103.921930897587,[14.01610684],0.0108356958383592,597
00060716_geop5000.parquet,0.5445535266039918,5266.839833232027,[4.50916022],0.003308240919051148,3793
00060814_geop5000.parquet,0.1918186266180229,6152.964859097216,[2.52334304],0.0031191820054721807,3519
00060820_geop5000.parquet,0.5451129406100332,5316.810270105068,[4.45280406],0.003450372533759034,3477
00062616_geop5000.parquet,0.34727601932717933,6164.064604551826,[3.25263316],0.0041607559789830295,3467
00062618_geop5000.parquet,0.36669377969566463,6126.780151758642,[3.33152757],0.004151855353159962,3731
00062715_geop5000.parquet,,,,,1
00062718_geop5000.parquet,0.4012526386615576,5922.816266717811,[3.49120338],0.004111211145608785,3028
00062811_geop5000.parquet,1.2069428433664626,6440.322319321772,[7.0603502],0.009174220216840698,2006
00062813_geop5000.parquet,1.3006345512144823,6502.775802107133,[7.59200216],0.009310086471766246,2982
00063010_geop5000.parquet,0.9197370391372164,5360.121148812926,[6.15847019],0.0038041800864766035,1910
00063013_geop5000.parquet,0.8395484403617354,5488.386468360256,[5.75781907],0.0053779429733973325,3844
00063016_geop5000.parquet,0.8829747612063517,5629.307097436947,[5.91812359],0.005143025303793465,3673
00070110_geop5000.parquet,0.5617696034173444,6290.06985079228,[4.13109099],0.005228101242067134,2547
00070113_geop5000.parquet,0.8278868865059035,5767.952385167937,[5.5939399],0.006711557180012406,3604
00070316_geop5000.parquet,6.461014328879191,5939.281262258311,[35.39579517],0.01885409831981997,3836
00071214_geop5000.parquet,0.5487686586396952,5880.97240938563,[4.259319],0.004839324946572538,2905
00071219_geop5000.parquet,0.5477760354081221,6038.0147692314395,[4.22595213],0.004622489487856327,3815
00071315_geop5000.parquet,0.2675245658668023,5584.135395536531,[2.90748299],0.0039362835421963465,3091
00071319_geop5000.parquet,0.2804415655829556,5789.3991220304815,[2.89838148],0.004066564026696623,2797
00071414_geop5000.parquet,0.770109862282084,6298.712077855976,[4.94795113],0.006822309194759416,1462
00071513_geop5000.parquet,0.7699536625627149,5484.974221224656,[5.4756188],0.005395568247733955,3122
00071721_geop5000.parquet,1.2793915401846045,6338.4162038534405,[7.46841126],0.009611185094599918,2456
00071918_geop5000.parquet,0.38988955613774123,5478.006065996308,[3.4435746],0.0027767964488631795,1985
00072302_geop5000.parquet,0.546459305510701,5675.878117503408,[4.09019877],0.004508807756833876,2523
00072504_geop5000.parquet,0.49743100280244157,5889.982005295032,[3.88052559],0.005204850041732664,2675
00072518_geop5000.parquet,0.5720068710011179,5934.561563146118,[4.36938587],0.004615387510362117,3554
00072617_geop5000.parquet,1.1800495422289332,6736.159140122738,[6.8927783],0.010638188935999984,5427
00072804_geop5000.parquet,0.7026762578103805,5862.825249796372,[4.62882027],0.0037138577954582723,2122
00072818_geop5000.parquet,0.878447772155779,5822.086881366617,[5.70092245],0.005141492707065785,2256
00072910_geop5000.parquet,1.0185689389517638,5675.447192684766,[6.42452255],0.005925308407817924,1571
00073009_geop5000.parquet,1.06137162541083,5681.654128049317,[6.84058137],0.004993067106887293,2030
00073018_geop5000.parquet,0.661579746865014,5809.878956566008,[4.83814918],0.005048173991830336,3369
00073109_geop5000.parquet,0.2974421748391058,5470.127785063261,[2.91318382],0.0028306324870579196,2757
00073117_geop5000.parquet,0.10284471755156968,16573.37443140074,[0.71947632],0.0003588452598793882,184
00073118_geop5000.parquet,0.2900115071074206,5429.948082195079,[2.95697155],0.002704977674022622,2439
00080109_geop5000.parquet,0.1856601722719737,5809.741102181575,[1.95621269],0.0035816207132210332,2174
00080209_geop5000.parquet,0.2086464505309486,5460.638352018502,[2.03279346],0.002285884915673341,1278
00080313_geop5000.parquet,0.20758720276401044,6200.702484618056,[2.49753349],0.004144556841543145,5817
00080322_geop5000.parquet,0.5140351780716262,5667.8523527276075,[3.94513908],0.004561083536080564,3694
00080411_geop5000.parquet,0.6826223594528276,5486.304729144402,[4.87827038],0.004491875665372425,1912
00080603_geop5000.parquet,0.5888383323696318,5356.171546582199,[4.52549577],0.003483599420490031,2568
00082215_geop5000.parquet,1.0759015401829124,5687.65924362327,[6.93892742],0.006601149132861594,3158
00121216_geop5000.parquet,4.283692959951665,6709.415331534877,[20.95300402],0.022246401052089013,4130
00121316_geop5000.parquet,0.9690576945152007,6096.254745003688,[6.19707562],0.005797250705230049,5344
00121318_geop5000.parquet,0.9999621580836938,5950.823052077609,[6.0635551],0.007132997227086048,2304
