file,PWV_kg/m^2,z_at_50pct_m,T_antenna,sigma_T,N_used
00041305_geop5000.parquet,1.2514666515676,5229.886181060422,[7.55609205],0.003397137804319199,152
00060114_geop5000.parquet,27.990316680174594,12459.457521959126,[76.17774012],1.7736088554277818,905
00060515_geop5000.parquet,2.634670316878503,6103.921930897587,[13.95154774],0.023834683562219662,597
00060716_geop5000.parquet,0.5445535266039918,5266.839833232027,[4.43579189],0.0015868967478808902,3793
00060814_geop5000.parquet,0.1918186266180229,6152.964859097216,[2.49060834],0.0011223866973991913,3519
00060820_geop5000.parquet,0.5451129406100332,5316.810270105068,[4.40093349],0.001589504824270483,3477
00062616_geop5000.parquet,0.34727601932717933,6164.064604551826,[3.21232174],0.001951588203543881,3467
00062618_geop5000.parquet,0.36669377969566463,6126.780151758642,[3.2929691],0.002506134427929731,3731
00062715_geop5000.parquet,,,,,1
00062718_geop5000.parquet,0.4012526386615576,5922.816266717811,[3.45169579],0.0022588908317341502,3028
00062811_geop5000.parquet,1.2069428433664626,6440.322319321772,[6.99444586],0.008887747003354698,2006
00062813_geop5000.parquet,1.3006345512144823,6502.775802107133,[7.52578417],0.011425184323649867,2982
00063010_geop5000.parquet,0.9197370391372164,5360.121148812926,[6.07028731],0.0027301577365323637,1910
00063013_geop5000.parquet,0.8395484403617354,5488.386468360256,[5.64736592],0.003290614549767398,3844
00063016_geop5000.parquet,0.8829747612063517,5629.307097436947,[5.8358826],0.0038682326162198365,3673
00070110_geop5000.parquet,0.5617696034173444,6290.06985079228,[4.04801383],0.0039031496820551384,2547
00070113_geop5000.parquet,0.8278868865059035,5767.952385167937,[5.51132864],0.004485805247966024,3604
00070316_geop5000.parquet,6.461014328879191,5939.281262258311,[34.85317997],0.04020613780885375,3836
00071214_geop5000.parquet,0.5487686586396952,5880.97240938563,[4.22525513],0.002878974255967327,2905
00071219_geop5000.parquet,0.5477760354081221,6038.0147692314395,[4.19104886],0.003595704357578332,3815
