   TIME       PMB      TEMP    TDEW     RH      GEOP     AZ      EL   SPEED     DIR   E.TIME   RT    Battery
               mb       øC      øC      %      meters    deg     deg   m/s      deg    secs  Status     v
Scale Factors  1.00000 1.00000   Flight # 124
16:36:28.05   556.49   -0.09 9999.00   11.00     5000 9999.00 9999.00   999.0     999     0.00       0   8.480
16:36:43.59   555.79   -2.40  -28.15   11.66     5010  111.05   15.18    10.3     299     1.67       0   8.440
16:36:44.64   555.16   -2.62  -28.37   11.61     5019  115.70   18.42    10.4     299     2.71       0   8.440
16:36:45.68   554.50   -2.73  -28.50   11.56     5028  116.65   20.85    10.4     299     3.75       0   8.450
16:36:46.72   553.85   -2.95  -28.71   11.53     5038  117.22   23.58    10.5     299     4.79       0   8.440
16:36:47.77   553.27   -3.15  -28.92   11.47     5046  116.72   24.70    10.5     299     5.83       0   8.450
16:36:48.81   552.68   -3.36  -29.13   11.42     5054  116.32   25.27    10.5     299     6.87       0   8.450
16:36:49.85   552.11   -3.58  -29.36   11.36     5062  117.47   27.05    10.5     299     7.91       0   8.440
16:36:50.84   551.56   -3.77  -29.57   11.30     5070  117.85   27.48    10.4     299     8.95       0   8.430
16:36:51.89   550.91   -3.92  -29.75   11.24     5080  118.32   27.88    10.4     299     9.99       0   8.440
16:36:52.93   550.26   -4.06  -29.91   11.18     5089  117.31   28.31    10.3     298    11.03       0   8.430
16:36:53.97   549.58   -4.17  -30.04   11.13     5099  118.37   29.99    10.2     298    12.07       0   8.430
16:36:55.02   548.95   -4.28  -30.17   11.08     5108  117.20   27.60    10.2     298    13.11       0   8.440
16:36:56.06   548.36   -4.39  -30.32   11.02     5116  118.08   28.95    10.1     298    14.15       0   8.420
16:36:57.10   547.80   -4.52  -30.47   10.96     5124  118.96   30.31    10.0     298    15.19       0   8.430
16:36:58.15   547.25   -4.67  -30.65   10.90     5132  117.03   28.40     9.9     298    16.23       0   8.420
16:36:59.19   546.74   -4.83  -30.85   10.83     5140  117.73   29.54     9.9     297    17.27       0   8.420
16:37:00.23   546.23   -5.01  -31.06   10.75     5147  118.43   30.69     9.8     297    18.31       0   8.430
16:37:01.28   545.76   -5.19  -31.28   10.67     5154  117.56   29.33     9.8     297    19.35       0   8.420
16:37:02.32   545.28   -5.37  -31.50   10.59     5160  118.17   30.34     9.7     297    20.39       0   8.420
16:37:03.37   544.85   -5.54  -31.71   10.51     5167  118.79   31.35     9.7     297    21.43       0   8.420
16:37:04.41   544.40   -5.70  -31.92   10.43     5173  118.61   29.88     9.7     297    22.47       0   8.410
16:37:05.45   543.93   -5.85  -32.12   10.34     5180  119.19   30.78     9.7     297    23.51       0   8.420
16:37:06.44   543.49   -5.99  -32.31   10.26     5186  120.03   32.08     9.8     297    24.55       0   8.420
16:37:07.49   543.09   -6.12  -32.50   10.18     5192  118.63   30.35     9.8     297    25.59       0   8.410
16:37:08.53   542.69   -6.24  -32.67   10.10     5198  119.14   31.15     9.8     297    26.63       0   8.410
16:37:09.57   542.30   -6.35  -32.84   10.02     5203  119.80   32.20     9.9     297    27.67       0   8.400
16:37:10.62   541.94   -6.45  -32.99    9.94     5209  117.42   30.41     9.9     297    28.71       0   8.400
16:37:11.66   541.60   -6.54  -33.14    9.87     5213  117.83   31.13     9.8     297    29.75       0   8.400
16:37:12.70   541.34   -6.63  -33.27    9.80     5217  118.32   32.00     9.8     297    30.79       0   8.400
16:37:13.75   541.14   -6.70  -33.40    9.74     5220  117.47   30.24     9.7     297    31.83       0   8.400
16:37:14.79   540.92   -6.76  -33.51    9.67     5223  117.84   30.88     9.6     297    32.87       0   8.400
16:37:15.83   540.69   -6.80  -33.61    9.61     5227  118.25   31.60     9.5     297    33.91       0   8.410
16:37:16.88   540.47   -6.83  -33.69    9.56     5230  117.84   30.29     9.4     297    34.95       0   8.390
16:37:17.92   540.24   -6.84  -33.76    9.50     5233  118.19   30.88     9.2     297    35.99       0   8.400
16:37:18.96   540.02   -6.85  -33.82    9.45     5236  116.47   29.47     9.1     297    37.03       0   8.400
16:37:20.01   539.78   -6.85  -33.88    9.40     5240  116.76   30.01     8.9     297    38.07       0   8.390
16:37:21.05   539.59   -6.86  -33.94    9.35     5243  117.05   30.54     8.8     296    39.11       0   8.390
16:37:22.04   539.41   -6.88  -34.00    9.31     5245  116.64   28.81     8.6     296    40.15       0   8.390
16:37:23.08   539.25   -6.90  -34.07    9.26     5247  116.92   29.28     8.5     296    41.19       0   8.390
16:37:24.13   539.11   -6.93  -34.13    9.22     5249  117.19   29.76     8.4     296    42.23       0   8.380
16:37:25.17   538.94   -6.96  -34.20    9.17     5252  116.31   28.12     8.3     296    43.27       0   8.380
16:37:26.21   538.74   -6.99  -34.28    9.12     5255  116.55   28.54     8.2     296    44.31       0   8.380
16:37:27.26   538.55   -7.02  -34.36    9.08     5258  116.80   28.96     8.1     295    45.35       0   8.400
16:37:28.30   538.32   -7.05  -34.44    9.02     5261  116.61   28.15     8.0     295    46.39       0   8.390
16:37:29.35   538.10   -7.08  -34.52    8.97     5264  116.84   28.55     8.0     295    47.43       0   8.370
16:37:30.39   537.89   -7.11  -34.61    8.92     5267  117.08   28.94     7.9     295    48.47       0   8.370
16:37:31.43   537.67   -7.14  -34.69    8.86     5270  117.22   27.33     7.9     295    49.51       0   8.370
16:37:32.48   537.47   -7.17  -34.78    8.81     5273  117.45   27.69     7.8     295    50.55       0   8.360
16:37:33.52   537.26   -7.19  -34.86    8.75     5276  117.78   28.17     7.8     295    51.59       0   8.390
16:37:34.56   537.03   -7.22  -34.93    8.70     5280  117.46   27.20     7.8     295    52.63       0   8.370
16:37:35.61   536.82   -7.23  -35.01    8.65     5283  117.69   27.53     7.8     295    53.67       0   8.370
16:37:36.65   536.58   -7.25  -35.07    8.60     5286  117.97   27.95     7.8     295    54.71       0   8.370
16:37:37.69   536.34   -7.26  -35.13    8.56     5290  116.84   27.00     7.9     295    55.75       0   8.370
16:37:38.68   536.07   -7.28  -35.19    8.52     5293  117.04   27.31     7.9     295    56.79       0   8.360
16:37:39.73   535.81   -7.30  -35.25    8.49     5297  117.28   27.67     7.9     296    57.83       0   8.370
16:37:40.77   535.58   -7.33  -35.30    8.46     5301  116.77   27.03     7.9     296    58.87       0   8.360
16:37:41.81   535.34   -7.35  -35.36    8.43     5304  116.95   27.32     7.9     296    59.91       0   8.360
16:37:42.86   535.10   -7.38  -35.41    8.40     5308  117.15   27.63     8.0     296    60.95       0   8.370
16:37:43.90   534.85   -7.41  -35.46    8.38     5311  117.12   27.23     8.0     296    61.99       0   8.360
16:37:44.94   534.53   -7.44  -35.51    8.35     5316  117.30   27.51     8.0     295    63.03       0   8.380
16:37:45.99   534.21   -7.47  -35.56    8.33     5321  116.49   27.06     8.1     295    64.07       0   8.370
16:37:47.03   533.88   -7.51  -35.61    8.32     5325  116.66   27.33     8.1     295    65.11       0   8.360
16:37:48.08   533.55   -7.54  -35.65    8.30     5330  116.83   27.60     8.1     295    66.15       0   8.360
16:37:49.12   533.23   -7.58  -35.69    8.29     5335  116.63   27.30     8.2     294    67.19       0   8.360
16:37:50.16   532.92   -7.61  -35.73    8.28     5339  116.80   27.56     8.2     294    68.23       0   8.340
16:37:51.21   532.62   -7.64  -35.77    8.26     5344  116.96   27.82     8.3     293    69.27       0   8.350
16:37:52.25   532.29   -7.68  -35.81    8.26     5349  116.21   27.40     8.3     293    70.31       0   8.380
16:37:53.29   531.94   -7.72  -35.85    8.25     5354  116.36   27.65     8.3     292    71.35       0   8.350
16:37:54.28   531.57   -7.76  -35.90    8.24     5359  116.51   27.90     8.4     292    72.39       0   8.340
16:37:55.33   531.20   -7.82  -35.95    8.23     5365  116.61   27.60     8.4     291    73.43       0   8.350
16:37:56.37   530.86   -7.87  -36.01    8.22     5370  116.76   27.85     8.5     291    74.47       0   8.340
16:37:57.41   530.50   -7.93  -36.07    8.20     5375  116.97   28.20     8.5     290    75.51       0   8.350
16:37:58.46   530.22   -7.99  -36.13    8.19     5379  116.18   27.46     8.5     290    76.55       0   8.350
16:37:59.50   529.89   -8.05  -36.20    8.17     5384  116.31   27.69     8.6     289    77.59       0   8.350
16:38:00.54   529.55   -8.11  -36.26    8.16     5389  116.50   28.00     8.6     289    78.63       0   8.340
16:38:01.59   529.19   -8.16  -36.32    8.14     5394  116.52   27.35     8.6     289    79.67       0   8.350
16:38:02.63   528.80   -8.20  -36.37    8.12     5400  116.65   27.57     8.6     288    80.71       0   8.350
16:38:03.67   528.47   -8.25  -36.43    8.11     5404  116.82   27.85     8.7     288    81.75       0   8.330
16:38:04.72   528.13   -8.29  -36.48    8.09     5410  116.08   27.57     8.7     288    82.79       0   8.330
16:38:05.76   527.83   -8.34  -36.54    8.07     5414  116.21   27.78     8.7     288    83.83       0   8.350
16:38:06.80   527.54   -8.39  -36.60    8.06     5418  116.35   28.02     8.7     288    84.87       0   8.350
16:38:07.85   527.23   -8.43  -36.65    8.04     5423  115.96   27.48     8.8     287    85.91       0   8.350
16:38:08.89   526.91   -8.48  -36.71    8.02     5427  116.08   27.69     8.8     287    86.95       0   8.330
16:38:09.88   526.54   -8.52  -36.77    8.00     5433  116.20   27.90     8.8     287    87.99       0   8.340
16:38:10.92   526.17   -8.57  -36.83    7.98     5438  115.54   27.52     8.9     287    89.03       0   8.320
16:38:11.97   525.80   -8.62  -36.89    7.96     5444  115.65   27.71     9.0     287    90.07       0   8.330
16:38:13.01   525.44   -8.67  -36.96    7.93     5449  114.80   27.27     9.0     287    91.11       0   8.330
16:38:14.05   525.11   -8.72  -37.03    7.91     5454  114.90   27.46     9.1     287    92.15       0   8.350
16:38:15.10   524.86   -8.77  -37.09    7.89     5458  115.00   27.65     9.2     287    93.19       0   8.320
16:38:16.14   524.63   -8.82  -37.16    7.87     5461  114.16   27.16     9.3     287    94.23       0   8.330
16:38:17.19   524.46   -8.87  -37.21    7.85     5464  114.25   27.34     9.4     287    95.27       0   8.330
16:38:18.23   524.21   -8.91  -37.27    7.83     5467  114.34   27.52     9.6     287    96.31       0   8.320
16:38:19.27   523.93   -8.94  -37.32    7.81     5471  113.98   27.19     9.7     287    97.35       0   8.310
16:38:20.32   523.64   -8.98  -37.38    7.79     5476  114.07   27.37     9.8     287    98.39       0   8.330
16:38:21.36   523.35   -9.01  -37.43    7.77     5480  114.15   27.54     9.9     287    99.43       0   8.330
16:38:22.40   523.12   -9.03  -37.48    7.74     5483  113.44   27.01    10.0     287   100.47       0   8.320
16:38:23.45   522.89   -9.06  -37.52    7.72     5487  113.52   27.18    10.1     286   101.51       0   8.330
16:38:24.49   522.62   -9.08  -37.57    7.70     5491  113.63   27.42    10.2     286   102.55       0   8.330
16:38:25.48   522.34   -9.10  -37.61    7.68     5495  113.06   26.86    10.3     286   103.59       0   8.320
16:38:26.52   522.06   -9.13  -37.66    7.66     5499  113.13   27.03    10.4     286   104.63       0   8.330
16:38:27.57   521.78   -9.16  -37.71    7.63     5503  113.22   27.25    10.5     286   105.67       0   8.310
16:38:28.61   521.50   -9.19  -37.76    7.61     5507  112.90   26.97    10.6     286   106.71       0   8.310
16:38:29.65   521.21   -9.23  -37.80    7.60     5512  112.97   27.13    10.7     286   107.75       0   8.320
16:38:30.70   520.86   -9.27  -37.86    7.58     5517  113.05   27.33    10.8     287   108.79       0   8.310
16:38:31.74   520.46   -9.32  -37.92    7.57     5523  113.04   26.78    10.8     287   109.83       0   8.320
16:38:32.78   520.03   -9.36  -37.98    7.55     5529  113.10   26.93    10.9     287   110.87       0   8.310
16:38:33.83   519.60   -9.41  -38.04    7.53     5535  113.18   27.10    11.0     287   111.91       0   8.310
16:38:34.87   519.16   -9.46  -38.10    7.51     5542  113.00   26.85    11.0     287   112.95       0   8.320
16:38:35.92   518.79   -9.51  -38.16    7.49     5547  113.06   27.00    11.1     287   113.99       0   8.320
16:38:36.96   518.46   -9.56  -38.23    7.47     5552  113.13   27.15    11.2     287   115.03       0   8.300
16:38:38.00   518.19   -9.60  -38.28    7.45     5556  113.06   26.34    11.3     288   116.07       0   8.310
16:38:39.05   517.95   -9.63  -38.34    7.43     5560  113.12   26.48    11.4     288   117.11       0   8.310
16:38:40.09   517.70   -9.66  -38.39    7.41     5564  112.93   25.95    11.5     288   118.15       0   8.300
16:38:41.13   517.49   -9.69  -38.43    7.39     5567  112.99   26.08    11.6     288   119.19       0   8.300
16:38:42.12   517.28   -9.71  -38.48    7.37     5570  113.05   26.22    11.7     288   120.23       0   8.300
16:38:43.17   517.04   -9.73  -38.52    7.35     5574  112.72   25.63    11.8     288   121.27       0   8.310
16:38:44.21   516.81   -9.76  -38.56    7.33     5577  112.78   25.76    11.9     288   122.31       0   8.310
16:38:45.25   516.56   -9.78  -38.60    7.31     5581  112.84   25.89    12.0     288   123.35       0   8.250
16:38:46.30   516.31   -9.80  -38.64    7.29     5584  112.44   25.21    12.1     288   124.39       0   8.310
16:38:47.34   516.08   -9.82  -38.68    7.28     5588  112.49   25.34    12.3     288   125.43       0   8.300
16:38:48.38   515.83   -9.84  -38.72    7.26     5592  112.55   25.46    12.4     288   126.47       0   8.310
16:38:49.43   515.59   -9.87  -38.76    7.24     5595  112.35   25.06    12.5     288   127.51       0   8.290
16:38:50.47   515.34   -9.89  -38.80    7.22     5599  112.40   25.18    12.6     288   128.55       0   8.290
16:38:51.51   515.12   -9.91  -38.84    7.21     5602  112.47   25.35    12.7     287   129.59       0   8.300
16:38:52.56   514.89   -9.93  -38.88    7.19     5606  112.11   24.71    12.8     287   130.63       0   8.290
16:38:53.60   514.70   -9.95  -38.91    7.17     5609  112.16   24.82    12.9     287   131.67       0   8.290
16:38:54.64   514.48   -9.96  -38.94    7.16     5612  112.22   24.98    13.0     287   132.71       0   8.290
16:38:55.69   514.26   -9.98  -38.97    7.14     5615  112.25   24.36    13.1     287   133.75       0   8.290
16:38:56.73   514.05  -10.00  -39.01    7.13     5618  112.29   24.47    13.1     287   134.79       0   8.290
16:38:57.72   513.83  -10.02  -39.04    7.12     5622  112.35   24.60    13.2     287   135.83       0   8.280
16:38:58.76   513.59  -10.04  -39.07    7.10     5625  112.01   24.28    13.3     287   136.87       0   8.280
16:38:59.81   513.34  -10.06  -39.11    7.09     5629  112.05   24.39    13.4     287   137.91       0   8.280
16:39:00.85   513.11  -10.08  -39.14    7.08     5632  112.10   24.50    13.4     287   138.95       0   8.290
16:39:01.89   512.85  -10.10  -39.17    7.07     5636  111.65   24.03    13.5     287   139.99       0   8.290
16:39:02.94   512.62  -10.12  -39.20    7.06     5640  111.69   24.13    13.6     287   141.03       0   8.270
16:39:03.98   512.39  -10.15  -39.23    7.05     5643  111.49   23.70    13.6     287   142.07       0   8.290
16:39:05.03   512.14  -10.17  -39.27    7.03     5647  111.53   23.80    13.7     287   143.11       0   8.280
16:39:06.07   511.89  -10.19  -39.30    7.02     5651  111.57   23.89    13.7     287   144.15       0   8.280
16:39:07.11   511.64  -10.22  -39.33    7.01     5655  111.32   23.62    13.8     287   145.19       0   8.280
16:39:08.16   511.39  -10.24  -39.36    7.00     5658  111.36   23.71    13.8     286   146.23       0   8.280
16:39:09.20   511.17  -10.27  -39.40    6.99     5661  111.40   23.80    13.8     286   147.27       0   8.270
16:39:10.24   510.93  -10.30  -39.43    6.99     5665  111.08   23.29    13.8     286   148.31       0   8.290
16:39:11.29   510.71  -10.32  -39.46    6.98     5669  111.12   23.38    13.8     286   149.35       0   8.260
16:39:12.33   510.48  -10.34  -39.49    6.97     5672  111.15   23.47    13.8     286   150.39       0   8.280
16:39:13.32   510.24  -10.37  -39.52    6.96     5676  110.97   23.08    13.8     286   151.43       0   8.340
16:39:14.36   510.01  -10.39  -39.55    6.95     5679  111.00   23.17    13.8     286   152.47       0   8.290
16:39:15.41   509.76  -10.41  -39.58    6.94     5683  111.03   23.26    13.8     285   153.51       0   8.280
