
   TIME       PMB      TEMP    TDEW     RH      GEOP     AZ      EL   SPEED     DIR   E.TIME   RT    Battery
               mb       øC      øC      %      meters    deg     deg   m/s      deg    secs  Status     v
Scale Factors  1.00000 1.00000   Flight # 5
17:06:51.96   558.02    2.86 9999.00    3.72     5000 9999.00 9999.00   999.0     999     0.00       0   8.200
17:07:30.96   557.30    1.13  -37.01    3.79     5010   97.07    2.38   999.0     999     1.97       0   8.140
17:07:32.00   556.87    0.57  -37.28    3.84     5017   98.00    8.65     9.0     285     3.00       0   8.140
17:07:33.04   556.35    0.36  -37.32    3.88     5024   96.28   13.30     9.2     285     4.03       0   8.130
17:07:34.09   555.81    0.18  -37.33    3.93     5032   95.47   15.45     9.8     284     5.06       0   8.140
17:07:35.08   555.21    0.10  -37.30    3.96     5041   97.28   19.90     9.9     284     6.09       0   8.130
17:07:36.12   554.59    0.04  -37.22    4.01     5049   97.82   20.30    10.0     284     7.11       0   8.140
17:07:37.16   553.98    0.09  -37.08    4.06     5058   98.38   25.15    10.2     283     8.14       0   8.130
17:07:38.15   553.37    0.05  -37.01    4.10     5067   98.75   26.58    10.3     283     9.17       0   8.140
17:07:39.20   552.80   -0.02  -36.96    4.14     5075   99.10   26.55    10.5     283    10.20       0   8.120
17:07:40.24   552.25   -0.10  -36.94    4.17     5083  103.34   23.32    10.6     282    11.23       0   8.120
17:07:41.23   551.75   -0.23  -36.95    4.20     5090  103.99   25.49    10.7     282    12.25       0   8.130
17:07:42.27   551.26   -0.36  -36.96    4.24     5098  104.51   23.37    10.8     282    13.28       0   8.120
17:07:43.31   550.73   -0.50  -36.95    4.29     5105  105.16   25.22    10.9     282    14.31       0   8.110
17:07:44.36   550.19   -0.62  -36.92    4.34     5113  105.80   27.07    11.0     282    15.34       0   8.120
17:07:45.40   549.62   -0.73  -36.88    4.39     5121  103.98   23.65    11.0     282    16.37       0   8.110
17:07:46.39   549.06   -0.83  -36.84    4.44     5130  104.47   25.17    11.1     281    17.40       0   8.110
17:07:47.43   548.53   -0.91  -36.80    4.49     5137  104.95   26.68    11.1     281    18.42       0   8.120
17:07:48.48   548.01   -1.00  -36.76    4.54     5145  102.63   23.55    11.2     281    19.45       0   8.120
17:07:49.47   547.50   -1.10  -36.72    4.59     5152  102.97   24.83    11.2     281    20.48       0   8.120
17:07:50.51   547.01   -1.21  -36.69    4.64     5159  103.32   26.10    11.3     281    21.51       0   8.140
17:07:51.55   546.53   -1.34  -36.63    4.71     5166  101.61   24.49    11.5     281    22.54       0   8.110
17:07:52.54   546.02   -1.47  -36.57    4.79     5174  101.86   25.62    11.6     281    23.56       0   8.120
17:07:53.59   545.53   -1.60  -36.50    4.87     5181  102.11   26.77    11.8     281    24.59       0   8.120
