   TIME       PMB      TEMP    TDEW     RH      GEOP     AZ      EL   SPEED     DIR   E.TIME   RT    Battery
               mb       øC      øC      %      meters    deg     deg   m/s      deg    secs  Status     v
Scale Factors  1.00000 1.00000   Flight # 86
10:04:27.91   556.25   -7.81 9999.00   39.98     5000 9999.00 9999.00   999.0     999     0.00       0   7.860
10:04:30.65   556.28   -8.04  -19.20   39.95     5000  201.81-654486924919564292000000.00   999.0     999     1.02       0   7.850
10:04:31.70   556.28   -8.05  -19.21   39.94     5000  223.92-433356025249724782000000.00   999.0     999     2.05       0   7.850
10:04:32.74   556.26   -8.05  -19.22   39.93     5000  246.24-210078223641156331000000.00   999.0     999     3.09       0   7.840
10:04:33.79   556.22   -8.05  -19.22   39.93     5000  230.68-365700775948599555000000.00   999.0     999     4.12       0   7.850
10:04:34.83   556.23   -8.04  -19.21   39.91     5000  243.37-238850492359697332000000.00   999.0     999     5.15       0   7.850
10:04:35.87   556.25   -8.01  -19.19   39.90     5000  256.17-110768652619130302000000.00   999.0     999     6.19       0   7.840
10:04:36.86   556.27   -7.98  -19.16   39.89     5000  242.60-246153892034595489000000.00   999.0     999     7.22       0   7.850
10:04:37.90   556.30   -7.95  -19.14   39.88     4999  251.62-155866693454243920000000.00   999.0     999     8.26       0   7.840
10:04:38.95   556.30   -7.93  -19.13   39.88     4999  260.56-66447641014228121300000.00   999.0     999     9.29       0   7.850
10:04:39.99   556.26   -7.92  -19.12   39.87     5000  248.90-183322094029226430000000.00   999.0     999    10.33       0   7.840
10:04:41.04   556.24   -7.93  -19.13   39.86     5000  255.77-114567108018475247000000.00   999.0     999    11.36       0   7.840
10:04:42.08   556.24   -7.93  -19.14   39.85     5000  262.65-45812122008754856100000.00   999.0     999    12.39       0   7.840
10:04:43.07   556.22   -7.94  -19.15   39.84     5000  252.77-144621249030474728000000.00   999.0     999    13.43       0   7.840
10:04:44.11   556.26   -7.95  -19.16   39.83     5000  258.35-88772489113034685400000.00   999.0     999    14.46       0   7.830
10:04:45.15   556.28   -7.95  -19.17   39.82     5000  263.99-32381508225902701400000.00   999.0     999    15.50       0   7.840
10:04:46.20   556.25   -7.96  -19.17   39.80     5000  255.63-115979216293813666000000.00   999.0     999    16.53       0   7.840
10:04:47.24   556.27   -7.96  -19.18   39.79     5000  260.35-68821617874102741100000.00   999.0     999    17.56       0   7.840
10:04:48.29   556.25   -7.96  -19.18   39.78     5000   87.22    0.00   999.0     999    18.60       0   7.830
10:04:49.27   556.24   -7.96  -19.18   39.77     5000 9999.00 9999.00   999.0     999    19.63       0   7.830
10:04:50.32   556.27   -7.95  -19.18   39.76     5000 9999.00 9999.00   999.0     999    20.67       0   7.830
10:04:51.36   556.30   -7.94  -19.17   39.75     4999  255.80-118370260596227798000000.00   999.0     999    21.70       0   7.820
10:04:52.41   556.30   -7.91  -19.15   39.74     4999  259.44-82215867990200675200000.00   999.0     999    22.74       0   7.830
10:04:53.45   556.27   -7.86  -19.11   39.73     5000  263.04-46409113774970290300000.00   999.0     999    23.77       0   7.840
10:04:54.44   556.25   -7.80  -19.06   39.72     5000   87.70    0.00   999.0     999    24.80       0   7.820
10:04:55.48   556.21   -7.74  -19.01   39.70     5000  260.78-69360887977511714000000.00   999.0     999    25.84       0   7.820
10:04:56.52   556.19   -7.70  -18.97   39.69     5001  264.00-37338017779188129300000.00   999.0     999    26.87       0   7.820
10:04:57.57   556.20   -7.66  -18.94   39.68     5001   87.75    0.00   999.0     999    27.91       0   7.800
